"name","capital"
"Argentina","Buenos Aires"
"Bolivia","Sucre"
"Brazil","Brasília"
"Chile","Santiago"
"Colombia","Bogotá"
"Ecuador","Quito"
"Falkland Islands","Stanley"
"French Guiana","Cayenne"
"Guyana","Georgetown"
"Paraguay","Asunción"
"Peru","Lima"
"South Georgia","King Edward Point"
"Suriname","Paramaribo"
"Uruguay","Montevideo"
"Venezuela","Caracas"
